company_name,status_label,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_862,failed,2011,10244,30966,853,-149,8407,-3140,695,4466.84,41567,21381,2088,-1002,10601,9212,256,41567,17040,41716
C_3721,failed,2007,20.93,31.175,3.775,-10.388,6.615,-27.049,8.817,24.7664,50.635,34.263,2.858,-14.163,19.46,33.13,-377.022,50.635,36.657,61.023
C_6098,failed,2012,247.213,387.952,33.22,31.17,92.582,-147.692,68.735,0.9398,674.998,427.573,0,-2.05,287.046,277.538,-338.811,674.998,506.765,643.828
C_1216,failed,2012,32.573,47.953,194.988,86.788,2.202,-84.202,26.132,341.8669,180.845,768.385,568.671,-108.2,132.892,111.883,-597.176,180.845,708.14,94.057
C_8094,failed,2008,12.064,2.809,0.785,-8.181,0,-9.486,2.119,12.1025,7.125,13.548,0,-8.966,4.316,4.321,-30.037,7.125,6.677,15.306
C_3114,failed,2001,0.352,6.546,0.488,-6.517,0,-10.636,0,39.6557,0.029,3.101,0,-7.005,-6.517,1.756,-34.059,0.029,1.756,6.546
C_2305,failed,2000,22.667,92.194,13.202,-88.988,4.708,-131.744,3.958,105.1388,188.626,65.02,55.847,-102.19,96.432,99.436,-305.715,188.626,159,277.614
C_3524,failed,2005,115.219,313.926,13.386,25.002,62.801,28.251,3.899,206.6211,438.738,197.496,1.877,11.616,124.812,68.668,21.757,438.738,94.333,413.736
C_1251,failed,2017,553.762,1140.372,53.603,81.272,347.44,11.626,22.149,258.0998,1798.522,772.319,197.906,27.669,658.15,237.129,718.755,1798.522,494.749,1717.25
C_3612,failed,2006,141.05,258.423,1.349,12.002,22.139,4.302,35.898,130.2402,347.919,155.905,0.012,10.653,89.496,47.791,79.452,347.919,48.328,335.917
C_14,failed,2017,471.555,469.27,23.754,68.18,136.387,11.376,272.955,464.9523,638.318,1038.185,339.2,44.426,169.048,222.805,190.568,638.318,633.118,570.138
C_139,failed,2004,11.577,1.07,0.046,-1.244,0.74,8.413,0.26,27.8908,1.631,11.741,0,-1.29,0.561,0.57,-12.073,1.631,0.621,2.875
C_6663,failed,2002,20.219,14.186,3.375,-12.175,14.459,-14.448,1.492,12.4025,23.026,30.83,0.016,-15.55,8.84,7.956,-218.487,23.026,8.793,35.201
C_535,failed,2012,9029,10574,1281,2599,3675,-778,3885,8515.59,15215,22795,7049,1318,4641,5710,3519,15215,13977,12616
C_7125,failed,2013,19.647,5.425,2.091,-19.338,1.261,-34.01,0.161,46.8591,1.586,125.112,0.012,-21.429,-3.839,128.166,-182.795,1.586,129.48,20.924
C_1593,failed,2001,2631,7577,308,692,2041,67,210,3847.452,11019,8076,1816,384,3442,2000,4961,11019,4609,10327
C_709,failed,2001,322.622,429.59,6.84,18.469,149.613,-13.929,143.261,54.3654,604.683,455.357,146.553,11.629,175.093,121.836,46.764,604.683,268.389,586.214
C_7027,failed,2007,29.564,44.296,1.611,-8.257,13.616,-7.017,8.523,35.7875,54.968,69.015,10.787,-9.868,10.672,28.243,-30.508,54.968,39.03,63.225
C_6034,failed,2001,79.065,38.304,3.475,-27.135,4.688,-32.501,4.38,124.7243,11.169,90.091,1.755,-30.61,-27.135,7.549,-122.16,11.169,10.979,38.304
C_8133,failed,2010,230.869,176.387,33.384,80.297,19.76,-47.579,51.671,588.1174,278.403,2003.194,1103.48,46.913,102.016,116.065,-84.696,278.403,1233.043,198.106
C_868,failed,2010,286.5,106.9,12.3,-79.6,1,-271.7,33.4,357.7076,27.3,564.7,418.3,-91.9,-79.6,263,-524,27.3,942.5,106.9
C_4774,failed,2005,188.867,242.883,4.547,-12.358,121.05,-9.931,58.296,80.7042,296.838,217.339,2.228,-16.905,53.955,120.363,-18.53,296.838,130.09,309.196
C_807,failed,2006,122.148,209.654,5.873,31.078,46.917,16.244,49.825,163.59,280.826,172.948,0,25.205,71.172,33.764,123.192,280.826,39.291,249.748
C_5172,failed,2015,35.246,40.367,0.203,-16.938,0,-17.209,0.15,58.6012,23.429,35.626,0,-17.141,-16.938,7.516,-405.481,23.429,12.516,40.367
C_3721,failed,2005,16.939,17.447,2.831,-9.679,4.259,-20.06,7.991,27.3083,32.873,28.098,8.412,-12.51,15.426,15.037,-332.084,32.873,25.259,42.552
C_535,failed,2001,1231.333,1320.583,208.129,596.075,504.986,214.651,462.145,4408.7895,2328.715,4296.362,1499.794,387.946,1008.132,759.597,90.846,2328.715,2453.875,1732.64
C_5368,failed,2007,223.892,555.62,28.8,62.547,0,15.736,113.588,55.6269,902.183,460.403,662.675,33.747,346.563,245.216,-1167.661,902.183,907.943,839.636
C_5240,failed,2001,0.168,1.07,0.023,-0.419,0.049,-0.482,0,5.934,0.651,0.381,2.081,-0.442,-0.419,1.14,-21.374,0.651,3.221,1.07
C_2380,failed,2003,1359,3391,208,207,347,-302,449,2996.6414,3801,7633,4151,-1,410,699,-528,3801,6322,3594
C_333,failed,2009,3658.845,2493.659,765.474,1412.498,25.838,-4034.086,1437.907,256.6955,5551.909,18047.101,20303.126,647.024,3058.25,1544.136,-9409.393,5551.909,24891.839,4139.411
C_7019,failed,2008,45.422,77.867,239.786,204.48,0,-52.212,33.494,43.3121,356.252,766.766,0,-35.306,278.385,620.78,-67.201,356.252,709.647,151.772
C_3628,failed,2005,3706,1883,220,249,214,90,640,1937.481,2313,10126,4228,29,430,2116,-1797,2313,7586,2064
C_1251,failed,2012,658.934,961.826,30.988,229.974,356.053,129.444,22.309,2389.1452,1704.885,857.215,9.5,198.986,743.059,248.127,569.378,1704.885,320.084,1474.911
C_4300,failed,2015,216.245,577.331,5.814,21.209,0,3.302,169.501,280.8878,786.955,502.271,32.68,15.395,209.624,110.329,-50.605,786.955,182.374,765.746
C_6054,failed,2001,17.841,41.393,0.404,4.112,14.709,2.218,1.977,16.28,58.317,22.804,0.975,3.708,16.924,10.356,3.218,58.317,11.575,54.205
C_7371,failed,2014,842.999,1378.933,1228.172,1465.164,0,64.807,543.172,5507.337,3055.111,14019.504,5628.782,236.992,1676.178,1208.516,2309.712,3055.111,8316.46,1589.947
C_862,failed,2015,6045,19190,422,-995,5172,-1129,419,1808.565,25146,11337,2272,-1417,5956,5438,-5209,25146,13293,26141
C_4821,failed,2003,3.277,4.372,0.486,-1.555,2.294,-1.984,0.561,2.5646,6.221,3.906,0,-2.041,1.849,1.107,-49.088,6.221,1.107,7.776
C_4788,failed,2008,1466.733,1250.902,286.85,2201.061,52.481,1311.02,574.842,8192.7189,3544.057,4938.762,503.28,1914.211,2293.155,509.087,1616.268,3544.057,1590.125,1342.996
C_1576,failed,2013,820.209,833.545,167.48,417.282,57.392,140.255,681.871,2417.8726,1435.103,4885.829,1505.358,249.802,601.558,401.681,2532.03,1435.103,2200.458,1017.821
C_3721,failed,2003,33.294,26.724,4.217,-1.618,8.727,-18.288,13.62,396.5826,59.498,63.252,6.631,-5.835,32.774,20.557,-272.916,59.498,29.659,61.116
C_3381,failed,2004,12.001,52.808,0.659,0.141,1.826,-1.976,8.806,10.9311,56.705,16.706,1.196,-0.518,3.897,8.937,-36.358,56.705,10.133,56.564
C_7582,failed,2008,82.842,374.004,12.675,99.552,5.094,39.031,31.644,397.5939,646.125,756.19,290.885,86.877,272.121,86.247,55.666,646.125,462.548,546.573
C_7158,failed,2002,4.802,6.279,0.452,-4.69,0.503,-10.974,3.496,27.1706,6.923,10.012,0.507,-5.142,0.644,4.626,-21.292,6.923,5.133,11.613
C_661,failed,2000,404.8,716.5,107,300.7,11.2,113.9,189.7,4994.5959,1039.8,2396.8,918.6,193.7,323.3,183.3,903.2,1039.8,1125.9,739.1
C_6316,failed,2002,4.665,47.667,1.948,3.975,1.786,-0.965,0.942,3.7271,57.626,33.977,14.689,2.027,9.959,5.589,-2.564,57.626,20.343,53.651
C_5860,failed,2012,30.564,28.887,15.259,-17.154,3.382,-20.42,15.917,165.091,34.801,575.405,51.559,-32.413,5.914,26.309,200.693,34.801,255.288,51.955
C_2866,failed,2005,398.034,799.907,56.1,183.725,92.522,90.71,241.593,1197.9463,1011.527,1678.349,599.259,127.625,211.62,275.924,246.219,1011.527,1187.615,827.802
C_4111,failed,2002,14.269,21.583,1.833,-1.249,4.782,-33.549,8.422,1.7623,36.454,47.076,0.142,-3.082,14.871,40.756,-16.209,36.454,42.46,37.703
C_8558,failed,2014,129.257,42.539,32.999,17.896,11.362,-35.286,48.85,360.022,123.004,487.413,285,-15.103,80.465,97.677,-40.488,123.004,403.821,105.108
C_7998,failed,2007,793,617,88,1499,0,429,423,2577.7378,3189,1667,9020,1411,2572,588,175,3189,10267,1690
C_767,failed,2001,4.685,2.461,0.052,-0.22,0,-0.989,0.029,55.3725,2.241,5.537,0.583,-0.272,-0.22,1.294,-6.878,2.241,1.877,2.461
C_6963,failed,2006,163.03,95.257,0.972,-63.582,0,-67.322,6.538,390.9792,31.675,178.34,286,-64.554,-63.582,44.244,-361.377,31.675,332.328,95.257
C_4699,failed,2001,264.03,494.729,174.612,-12.28,69.947,-518.422,67.42,247.1262,617.853,549.334,144.743,-186.892,123.124,221.699,-28.562,617.853,518.5,630.133
C_5553,failed,2003,141.542,377.06,19.207,3.787,89.298,-33.583,6.122,64.0886,521.025,204.127,25.064,-15.42,143.965,78.09,-14.786,521.025,118.773,517.238
C_1440,failed,2017,215.559,330.88,98.777,45.841,14.057,-75.118,113.005,237.043,446.455,766.869,461.665,-52.936,115.575,84.914,-339.481,446.455,556.773,400.614
C_876,failed,2001,157.936,406.672,22.468,13.721,65.941,-63.262,72.81,28.6972,505.96,347.955,12.474,-8.747,99.288,155.579,40.351,505.96,173.691,492.239
C_1251,failed,1999,415.28,719.848,38.672,161.853,268.906,74.725,5.637,821.0125,1247.875,670.71,25,123.181,528.027,175.966,263.142,1247.875,230.047,1086.022
C_8089,failed,2015,674.088,4910.043,371.772,-4282.067,0,-3697.545,127.387,126.6942,768.709,2991.155,3631.506,-4653.839,-4141.334,437.389,-6992.697,768.709,4178.888,5050.776
C_4479,failed,2007,23.297,38.103,1.208,3.661,9.603,0.674,12.47,27.1868,57.932,38.914,0.014,2.453,19.829,17.632,-17.324,57.932,19,54.271
C_326,failed,2003,371.3,583.6,21.7,27.1,132.3,-191.7,96.5,145.2161,739.7,711.5,163.5,5.4,156.1,354.1,-358.7,739.7,745.4,712.6
C_4251,failed,2007,36.943,121.254,1.596,-2.276,7.315,-7.616,24.477,5.6459,164.174,51.443,0,-3.872,42.92,30.535,-17.18,164.174,31.967,166.45
C_6879,failed,2007,106.897,93.751,6.241,-93.008,0,-99.264,0,517.8648,0.743,161.662,95.647,-99.249,-93.008,25.241,-491.597,0.743,121.285,93.751
C_1336,failed,2003,22.424,26.784,3.507,-24.442,10.995,-30.104,9.501,51.534,43.4,33.993,1.285,-27.949,16.616,43.158,-310.365,43.4,44.443,67.842
C_7692,failed,2016,8.732,145.835,14.421,-6.571,2.176,-21.629,1.85,131.1726,169.523,108.383,25.921,-20.992,23.688,19.277,-56.234,169.523,76.808,176.094
C_297,failed,2003,11.065,11.62,0.45,1.417,4.989,1.001,2.911,36.3456,21.541,13.043,0,0.967,9.921,1.89,-2.156,21.541,1.89,20.124
C_4070,failed,2005,12.451,20.351,0.285,9.211,0,6.752,8.703,87.371,43.062,13.031,0,8.926,22.711,4.34,4.325,43.062,4.614,33.851
C_7218,failed,2011,7.221,0.047,0.433,-8.148,0,-8.569,0.004,36.4242,0.195,8.388,0,-8.581,0.148,0.087,-62.295,0.195,0.087,8.343
C_8620,failed,2015,137.155,383.446,16.712,15.383,106.566,-4.338,10.447,49.4018,657.856,230.252,27.965,-1.329,274.41,115.394,-19.727,657.856,195.358,642.473
C_5253,failed,2005,632.806,2015.543,79.512,172.695,132.148,1.814,309.056,41.6438,2344.139,2075.209,1139.952,93.183,328.596,449.655,-10.527,2344.139,1730.638,2171.444
C_689,failed,2007,134.034,120.992,30.623,152.723,0,98.975,90.642,1067.3267,306.026,934.012,159.558,122.1,185.034,50.478,465.154,306.026,257.921,153.303
C_6589,failed,2003,37.278,13.844,3.762,-3.347,1.633,-6.447,2.994,73.835,33.143,40.865,0,-7.109,19.299,5.607,-147.471,33.143,5.607,36.49
